恒信短债增强001号起投金额是多少?	恒信短债增强001号起投金额为20,000 元，追加申购以产品说明书为准。
恒信固收稳享002号赎回多久到账?	恒信固收稳享002号开放和赎回规则为每月开放，遇周末或法定节假日顺延。
C2客户能买R3产品吗?	C2客户通常只能购买R1-R2产品；若产品为R3，需按适当性规则阻断或人工复核。
产品WM-3631-20260004可以在哪个渠道购买?	产品WM-3631-20260004当前销售渠道为私行专属，销售前需核验渠道权限和产品状态。
业绩比较基准是否等于预期收益?	不等于。业绩比较基准仅为投资管理参考，不构成收益承诺，回答时必须提示市场波动风险。
风险测评过期还能推荐产品吗?	不能直接推荐高于现金管理类的产品。需客户重新完成风险测评后再进行适当性匹配。
客户出现高风险预警后还能推荐吗?	高风险预警客户应阻断高风险产品推荐，中风险客户应降档推荐或转人工复核。
恒信现金管理008号的风险等级是多少?	恒信现金管理008号的风险等级为R1（低风险），推荐前需确认客户风险等级不低于该产品风险等级。
恒信短债增强009号起投金额是多少?	恒信短债增强009号起投金额为50,000 元，追加申购以产品说明书为准。
恒信固收稳享010号赎回多久到账?	恒信固收稳享010号开放和赎回规则为每月开放，遇周末或法定节假日顺延。
C2客户能买R3产品吗?	C2客户通常只能购买R1-R2产品；若产品为R3，需按适当性规则阻断或人工复核。
产品WM-3631-20260012可以在哪个渠道购买?	产品WM-3631-20260012当前销售渠道为线下财富中心，销售前需核验渠道权限和产品状态。
业绩比较基准是否等于预期收益?	不等于。业绩比较基准仅为投资管理参考，不构成收益承诺，回答时必须提示市场波动风险。
风险测评过期还能推荐产品吗?	不能直接推荐高于现金管理类的产品。需客户重新完成风险测评后再进行适当性匹配。
客户出现高风险预警后还能推荐吗?	高风险预警客户应阻断高风险产品推荐，中风险客户应降档推荐或转人工复核。
恒信现金管理016号的风险等级是多少?	恒信现金管理016号的风险等级为R1（低风险），推荐前需确认客户风险等级不低于该产品风险等级。
恒信短债增强017号起投金额是多少?	恒信短债增强017号起投金额为30,000 元，追加申购以产品说明书为准。
恒信固收稳享018号赎回多久到账?	恒信固收稳享018号开放和赎回规则为每月开放，遇周末或法定节假日顺延。
C2客户能买R3产品吗?	C2客户通常只能购买R1-R2产品；若产品为R3，需按适当性规则阻断或人工复核。
产品WM-3631-20260020可以在哪个渠道购买?	产品WM-3631-20260020当前销售渠道为APP，销售前需核验渠道权限和产品状态。
业绩比较基准是否等于预期收益?	不等于。业绩比较基准仅为投资管理参考，不构成收益承诺，回答时必须提示市场波动风险。
风险测评过期还能推荐产品吗?	不能直接推荐高于现金管理类的产品。需客户重新完成风险测评后再进行适当性匹配。
